,Topology,IsBackBone,Number of Nodes,Number of Edges,Replication Average per Node,Max Replication,State Overhead,Star Probability,Where,MPINT,MPolka CRC8,MPolka CRC16,INT Clássico
240,Gambia,1,28,28,1.5714285714285714,10,116,0.39285714285714285,DataPlane,2189,2718.0,3474.0,4614
158,Niif,1,36,41,1.5555555555555556,13,148,0.3888888888888889,DataPlane,2613,3590.0,4850.0,5265
42,Cesnet200706,1,44,51,1.7045454545454546,16,194,0.38636363636363635,DataPlane,2953,4494.0,6386.0,7765
90,Cesnet1997,1,13,12,1.4615384615384615,4,51,0.38461538461538464,DataPlane,944,996.0,1152.0,2109
52,Cesnet200304,1,29,33,1.5862068965517242,10,121,0.3793103448275862,DataPlane,2196,2772.0,3584.0,5218
68,Uran,1,24,24,1.4583333333333333,8,94,0.375,DataPlane,2189,2522.0,3074.0,3978
34,Restena,1,19,21,1.5263157894736843,6,77,0.3684210526315789,DataPlane,1566,1746.0,2088.0,3114
178,Compuserve,0,14,17,1.2857142857142858,4,50,0.35714285714285715,DataPlane,1643,1692.0,1874.0,2171
232,BtAsiaPac,1,20,31,1.5,6,80,0.35,DataPlane,1637,1830.0,2210.0,3827
86,Aconet,1,23,31,1.5217391304347827,7,93,0.34782608695652173,DataPlane,1758,2094.0,2600.0,3552
6,Cesnet200603,1,39,44,1.6666666666666667,12,169,0.3333333333333333,DataPlane,2698,3854.0,5336.0,7322
212,Cesnet200511,1,39,44,1.6666666666666667,12,169,0.3333333333333333,DataPlane,2698,3854.0,5336.0,7322
20,Renater2001,1,24,27,1.4583333333333333,7,94,0.3333333333333333,DataPlane,2265,2522.0,3074.0,6132
186,Arpanet19706,1,9,10,1.2222222222222223,2,31,0.3333333333333333,DataPlane,816,824.0,896.0,1203
144,Forthnet,1,62,62,1.7903225806451613,19,284,0.3225806451612903,DataPlane,3927,7212.0,10994.0,11911
130,Vinaren,1,25,26,1.6,7,105,0.32,DataPlane,1820,2184.0,2784.0,5426
140,Noel,1,19,25,1.368421052631579,5,71,0.3157894736842105,DataPlane,1710,1890.0,2232.0,2916
126,Rhnet,1,16,18,1.3125,4,58,0.3125,DataPlane,1817,1890.0,2130.0,2931
234,KentmanJul2005,1,16,17,1.4375,4,62,0.3125,DataPlane,1389,1458.0,1698.0,3733
